URL,Marque,Modèle,Prix,Carrosserie,Etat,Sieges,Portes,Annonce ID,Garantie,Kilometrage,Annee,Puissance,Transmission,Cylindree,Carburant,CO2,Couleur originale,Type peinture,Couleur interieur,position_page
https://www.autoscout24.fr/offres/volkswagen-passat-cc-2-0-16s-tdi-cr-140-fap-carat-edition-diesel-gris-f96ddf3d-3308-4767-b3a5-dcdecc78a344,,,,Berline,Occasion,4,4,6kfyjqk1,6 mois,,06/2011,103 kW (140 CH),Boîte manuelle,1 968 cm³,Diesel,,GRIS CLAIR,,Brun,19
https://www.autoscout24.fr/offres/mercedes-benz-glk-220-220-cdi-sport-4matic-7gtronic-diesel-noir-3e52c774-5eaf-4f86-a221-efb1c130944b,,,,SUV/4x4/Pick-Up,Occasion,5,5,4248,12 mois,,07/2013,127 kW (173 CH),Semi-automatique,2 143 cm³,Diesel,159 g/km (mixte),NOIR,,Noir,11
https://www.autoscout24.fr/offres/peugeot-308-1-2-puretech-gt-line-eat8-essence-rouge-ea18ac70-0a0d-4949-a736-ebdab4e94bdf,,,,Berline,Occasion,5,5,SX54865,12 mois,,09/2019,96 kW (131 CH),Avant,1 199 cm³,Essence,106 g/km (mixte),Rouge,Métallisé,Noir,6
https://www.autoscout24.fr/offres/ds-automobiles-ds-5-2-0-bluehdi-180-eat6-sport-chic-diesel-noir-c865af46-6154-499f-9691-2fedef09a7c5,,,,Berline,Occasion,5,5,r0070679,6 mois,,01/2017,133 kW (181 CH),Boîte automatique,,Diesel,117 g/km (mixte),Noir,,Blanc,19
https://www.autoscout24.fr/offres/renault-captur-1-2-tce-energy-hypnotic-edc-essence-gris-06b35cfc-f0f5-48f4-86ee-7469e0a17aac,,,,SUV/4x4/Pick-Up,Occasion,5,5,RK44066,12 mois,,01/2016,87 kW (118 CH),Avant,1 197 cm³,Essence,125 g/km (mixte),Gris,Métallisé,Noir,17
https://www.autoscout24.fr/offres/volkswagen-polo-v-1-0-tsi-95-connect-essence-875a7e47-d96e-4dbe-9047-cd1c82a5837f,,,,Citadine,Occasion,5,5,r0070671,6 mois,,04/2019,70 kW (95 CH),Boîte manuelle,,Essence,101 g/km (mixte),Gris clair,,Noir,14
https://www.autoscout24.fr/offres/hyundai-ix35-1-7-crdi-115-bluedrive-creative-2wd-diesel-95a2f1bc-31c5-4e28-8a27-b2c4944be938,,,,Citadine,Occasion,5,5,d138497,6 mois,,06/2015,116 kW (158 CH),Boîte manuelle,,Diesel,135 g/km (mixte),Blanc,,Noir,13
https://www.autoscout24.fr/offres/mercedes-benz-cl-200-d-150cv-bva-8-amg-line-toit-ouvrant-19159ht-en-diesel-bleu-e54d750f-cb92-4cd7-aade-f7862456026e,,,,Berline,Occasion,5,,VRZ_0FC4DE,,,02/2020,110 kW (150 CH),Boîte automatique,,Diesel,,Bleu,Métallisé,Noir,8
https://www.autoscout24.fr/offres/citroen-c3-puretech-82-feel-essence-blanc-ebaa2007-a9af-4a20-863a-59f34bbb21d1,,,,Berline,Occasion,5,5,21182646MB2019100760blancbanquise,,,10/2019,60 kW (82 CH),Boîte manuelle,1 199 cm³,Essence,96 g/km (mixte),Blanc Banquise,,Gris,20
https://www.autoscout24.fr/offres/peugeot-308-ii-1-6-thp-205-gt-essence-blanc-cff3283f-79c1-46d9-90d4-43d4bd5a9f30,,,,Berline,Occasion,5,5,r0070794,6 mois,,06/2016,151 kW (205 CH),Boîte manuelle,,Essence,130 g/km (mixte),Blanc,,Noir,16
